iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
OWID_ASI,,Asia,2024-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9104296479.0,3689438578.0,3462095191.0,1815169449.0,26.0,61.0,192.83,78.14,73.33,38.45,0.0,37.0,0.0,,,,,,,,,,,,,,,,4721383370.0,,,,
BGD,Asia,Bangladesh,2024-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361742554.0,151507162.0,142201684.0,68615250.0,,0.0,211.32,88.5,83.07,40.08,0.0,0.0,0.0,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,,,,
BGR,Europe,Bulgaria,2024-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4726614.0,,2078006.0,,3.0,2.0,69.69,,30.64,,0.0,,,,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955.0,,,,
CAN,North America,Canada,2024-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102869160.0,,,34889725.0,1481.0,2312.0,267.51,,,90.73,60.0,,,,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328.0,,,,
CZE,Europe,Czechia,2024-07-14,,,,,,,,,,,,,,0.0,0.0,4.0,0.381,2.0,0.191,9.0,0.858,,,,,,,,,,19047017.0,6981996.0,6895760.0,5581310.0,3.0,2.0,181.5,66.53,65.71,53.19,0.0,0.0,0.0,,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,,,,
EST,Europe,Estonia,2024-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171338.0,870189.0,862725.0,659195.0,5.0,3.0,163.74,65.62,65.06,49.71,2.0,0.0,0.0,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,,,,
OWID_EUR,,Europe,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399333782.0,523814289.0,493751277.0,365099590.0,3.0,7.0,187.88,70.33,66.29,49.02,0.0,0.0,0.0,,,,,,,,,,,,,,,,744807803.0,,,,
OWID_EUN,,European Union,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951112864.0,338119523.0,327967399.0,282438438.0,3.0,7.0,211.29,75.11,72.86,62.74,0.0,0.0,0.0,,,,,,,,,,,,,,,,450146793.0,,,,
GRC,Europe,Greece,2024-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22467978.0,7938031.0,7647076.0,7461944.0,8.0,11.0,216.35,76.44,73.64,71.85,1.0,1.0,0.0,,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10384972.0,,,,
OWID_HIC,,High income,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840816604.0,998722754.0,929255778.0,839176567.0,4495.0,2173.0,227.17,79.86,74.31,67.11,2.0,0.0,0.0,,,,,,,,,,,,,,,,1250514600.0,,,,
