location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Argentina,2020-12-29,Sputnik V,https://covidstats.com.ar/,20495,20492,2,1
Argentina,2020-12-30,Sputnik V,https://covidstats.com.ar/,40597,40589,7,1
Argentina,2020-12-31,Sputnik V,https://covidstats.com.ar/,43403,43395,7,1
Argentina,2021-01-01,Sputnik V,https://covidstats.com.ar/,43532,43524,7,1
Argentina,2021-01-02,Sputnik V,https://covidstats.com.ar/,46844,46833,10,1
Argentina,2021-01-03,Sputnik V,https://covidstats.com.ar/,47290,47274,11,5
Argentina,2021-01-04,Sputnik V,https://covidstats.com.ar/,57753,57731,15,7
Argentina,2021-01-05,Sputnik V,https://covidstats.com.ar/,68484,68459,18,7
Argentina,2021-01-06,Sputnik V,https://covidstats.com.ar/,78604,78575,18,11
Argentina,2021-01-07,Sputnik V,https://covidstats.com.ar/,96838,96800,21,17
Argentina,2021-01-08,Sputnik V,https://covidstats.com.ar/,124732,124686,28,18
Argentina,2021-01-09,Sputnik V,https://covidstats.com.ar/,134943,134894,30,19
Argentina,2021-01-10,Sputnik V,https://covidstats.com.ar/,136122,136068,30,24
Argentina,2021-01-11,Sputnik V,https://covidstats.com.ar/,155953,155892,35,26
Argentina,2021-01-12,Sputnik V,https://covidstats.com.ar/,175350,175269,45,36
Argentina,2021-01-13,Sputnik V,https://covidstats.com.ar/,192128,192043,47,38
Argentina,2021-01-14,Sputnik V,https://covidstats.com.ar/,208779,208689,48,42
Argentina,2021-01-15,Sputnik V,https://covidstats.com.ar/,226226,226130,54,42
Argentina,2021-01-16,Sputnik V,https://covidstats.com.ar/,232111,232014,55,42
Argentina,2021-01-17,Sputnik V,https://covidstats.com.ar/,233175,233073,58,44
Argentina,2021-01-18,Sputnik V,https://covidstats.com.ar/,243009,242894,63,52
Argentina,2021-01-19,Sputnik V,https://covidstats.com.ar/,256266,250710,5498,58
Argentina,2021-01-20,Sputnik V,https://covidstats.com.ar/,275700,256622,19020,58
Argentina,2021-01-21,Sputnik V,https://covidstats.com.ar/,289821,261422,28341,58
Argentina,2021-01-22,Sputnik V,https://covidstats.com.ar/,299045,266447,32539,59
Argentina,2021-01-23,Sputnik V,https://covidstats.com.ar/,302995,267561,35374,60
Argentina,2021-01-24,Sputnik V,https://covidstats.com.ar/,303299,267653,35586,60
Argentina,2021-01-25,Sputnik V,https://covidstats.com.ar/,317519,274778,42681,60
Argentina,2021-01-26,Sputnik V,https://covidstats.com.ar/,330336,280099,50177,60
Argentina,2021-01-27,Sputnik V,https://covidstats.com.ar/,340451,284192,56199,60
Argentina,2021-01-28,Sputnik V,https://covidstats.com.ar/,356501,285636,70804,61
Argentina,2021-01-29,Sputnik V,https://covidstats.com.ar/,380006,287098,92847,61
Argentina,2021-01-30,Sputnik V,https://covidstats.com.ar/,389322,287300,101960,62
Argentina,2021-01-31,Sputnik V,https://covidstats.com.ar/,389947,287308,102576,63
