date,indicator,value,entity
2020-04-01,Daily hospital occupancy,820,Canada
2020-04-02,Daily hospital occupancy,540,Canada
2020-04-03,Daily hospital occupancy,578,Canada
2020-04-04,Daily hospital occupancy,651,Canada
2020-04-05,Daily hospital occupancy,671,Canada
2020-04-06,Daily hospital occupancy,1269,Canada
2020-04-07,Daily hospital occupancy,1352,Canada
2020-04-08,Daily hospital occupancy,1444,Canada
2020-04-09,Daily hospital occupancy,1655,Canada
2020-04-10,Daily hospital occupancy,1694,Canada
2020-04-11,Daily hospital occupancy,1755,Canada
2020-04-12,Daily hospital occupancy,1810,Canada
2020-04-13,Daily hospital occupancy,1887,Canada
2020-04-14,Daily hospital occupancy,1931,Canada
2020-04-15,Daily hospital occupancy,2015,Canada
2020-04-16,Daily hospital occupancy,2052,Canada
2020-04-17,Daily hospital occupancy,2113,Canada
2020-04-18,Daily hospital occupancy,2140,Canada
2020-04-19,Daily hospital occupancy,2240,Canada
2020-04-20,Daily hospital occupancy,2291,Canada
2020-04-21,Daily hospital occupancy,2352,Canada
2020-04-22,Daily hospital occupancy,2544,Canada
2020-04-23,Daily hospital occupancy,2606,Canada
2020-04-24,Daily hospital occupancy,2666,Canada
2020-04-25,Daily hospital occupancy,2682,Canada
2020-04-26,Daily hospital occupancy,2725,Canada
2020-04-27,Daily hospital occupancy,2835,Canada
2020-04-28,Daily hospital occupancy,2879,Canada
2020-04-29,Daily hospital occupancy,2934,Canada
2020-04-30,Daily hospital occupancy,2921,Canada
2020-05-01,Daily hospital occupancy,2961,Canada
2020-05-02,Daily hospital occupancy,2981,Canada
2020-05-03,Daily hospital occupancy,3041,Canada
2020-05-04,Daily hospital occupancy,3089,Canada
2020-05-05,Daily hospital occupancy,3105,Canada
2020-05-06,Daily hospital occupancy,3089,Canada
2020-05-07,Daily hospital occupancy,3089,Canada
2020-05-08,Daily hospital occupancy,3032,Canada
2020-05-09,Daily hospital occupancy,3077,Canada
2020-05-10,Daily hospital occupancy,3080,Canada
2020-05-11,Daily hospital occupancy,3079,Canada
2020-05-12,Daily hospital occupancy,3093,Canada
2020-05-13,Daily hospital occupancy,3023,Canada
2020-05-14,Daily hospital occupancy,2993,Canada
2020-05-15,Daily hospital occupancy,2955,Canada
2020-05-16,Daily hospital occupancy,2931,Canada
2020-05-17,Daily hospital occupancy,2877,Canada
2020-05-18,Daily hospital occupancy,2948,Canada
2020-05-19,Daily hospital occupancy,2681,Canada
2020-05-20,Daily hospital occupancy,2604,Canada
2020-05-21,Daily hospital occupancy,2540,Canada
2020-05-22,Daily hospital occupancy,2476,Canada
2020-05-23,Daily hospital occupancy,2444,Canada
2020-05-24,Daily hospital occupancy,2371,Canada
2020-05-25,Daily hospital occupancy,2385,Canada
2020-05-26,Daily hospital occupancy,2341,Canada
2020-05-27,Daily hospital occupancy,2289,Canada
2020-05-28,Daily hospital occupancy,2196,Canada
2020-05-29,Daily hospital occupancy,2127,Canada
2020-05-30,Daily hospital occupancy,2115,Canada
2020-05-31,Daily hospital occupancy,2121,Canada
2020-06-01,Daily hospital occupancy,2097,Canada
2020-06-02,Daily hospital occupancy,2052,Canada
2020-06-03,Daily hospital occupancy,1956,Canada
2020-06-04,Daily hospital occupancy,1817,Canada
2020-06-05,Daily hospital occupancy,1722,Canada
2020-06-06,Daily hospital occupancy,1700,Canada
2020-06-07,Daily hospital occupancy,1687,Canada
2020-06-08,Daily hospital occupancy,1647,Canada
2020-06-09,Daily hospital occupancy,1558,Canada
2020-06-10,Daily hospital occupancy,1497,Canada
2020-06-11,Daily hospital occupancy,1441,Canada
2020-06-12,Daily hospital occupancy,1351,Canada
2020-06-13,Daily hospital occupancy,1304,Canada
2020-06-14,Daily hospital occupancy,1292,Canada
2020-06-15,Daily hospital occupancy,1222,Canada
2020-06-16,Daily hospital occupancy,1162,Canada
2020-06-17,Daily hospital occupancy,1080,Canada
2020-06-18,Daily hospital occupancy,1025,Canada
2020-06-19,Daily hospital occupancy,935,Canada
2020-06-20,Daily hospital occupancy,914,Canada
2020-06-21,Daily hospital occupancy,919,Canada
2020-06-22,Daily hospital occupancy,904,Canada
2020-06-23,Daily hospital occupancy,887,Canada
2020-06-24,Daily hospital occupancy,858,Canada
2020-06-25,Daily hospital occupancy,849,Canada
2020-06-26,Daily hospital occupancy,806,Canada
2020-06-27,Daily hospital occupancy,804,Canada
2020-06-28,Daily hospital occupancy,782,Canada
2020-06-29,Daily hospital occupancy,759,Canada
2020-06-30,Daily hospital occupancy,689,Canada
2020-07-01,Daily hospital occupancy,679,Canada
2020-07-02,Daily hospital occupancy,659,Canada
2020-07-03,Daily hospital occupancy,632,Canada
2020-07-04,Daily hospital occupancy,623,Canada
2020-07-05,Daily hospital occupancy,625,Canada
2020-07-06,Daily hospital occupancy,585,Canada
2020-07-07,Daily hospital occupancy,567,Canada
2020-07-08,Daily hospital occupancy,530,Canada
2020-07-09,Daily hospital occupancy,552,Canada
2020-07-10,Daily hospital occupancy,534,Canada
2020-07-11,Daily hospital occupancy,543,Canada
2020-07-12,Daily hospital occupancy,547,Canada
2020-07-13,Daily hospital occupancy,519,Canada
2020-07-14,Daily hospital occupancy,506,Canada
2020-07-15,Daily hospital occupancy,502,Canada
2020-07-16,Daily hospital occupancy,492,Canada
2020-07-17,Daily hospital occupancy,488,Canada
2020-07-18,Daily hospital occupancy,505,Canada
2020-07-19,Daily hospital occupancy,510,Canada
2020-07-20,Daily hospital occupancy,521,Canada
2020-07-21,Daily hospital occupancy,540,Canada
2020-07-22,Daily hospital occupancy,518,Canada
2020-07-23,Daily hospital occupancy,460,Canada
2020-07-24,Daily hospital occupancy,438,Canada
2020-07-25,Daily hospital occupancy,423,Canada
2020-07-26,Daily hospital occupancy,434,Canada
2020-07-27,Daily hospital occupancy,420,Canada
2020-07-28,Daily hospital occupancy,400,Canada
2020-07-29,Daily hospital occupancy,412,Canada
2020-07-30,Daily hospital occupancy,385,Canada
2020-07-31,Daily hospital occupancy,364,Canada
2020-08-01,Daily hospital occupancy,361,Canada
2020-08-02,Daily hospital occupancy,361,Canada
2020-08-03,Daily hospital occupancy,344,Canada
2020-08-04,Daily hospital occupancy,344,Canada
2020-08-05,Daily hospital occupancy,328,Canada
2020-08-06,Daily hospital occupancy,297,Canada
2020-08-07,Daily hospital occupancy,301,Canada
2020-08-08,Daily hospital occupancy,295,Canada
2020-08-09,Daily hospital occupancy,301,Canada
2020-08-10,Daily hospital occupancy,279,Canada
2020-08-11,Daily hospital occupancy,267,Canada
2020-08-12,Daily hospital occupancy,264,Canada
2020-08-13,Daily hospital occupancy,264,Canada
2020-08-14,Daily hospital occupancy,265,Canada
