date,indicator,value,entity
2020-04-01,Daily hospital occupancy,13431.0,United Kingdom
2020-04-02,Daily hospital occupancy,13650.0,United Kingdom
2020-04-03,Daily hospital occupancy,15327.0,United Kingdom
2020-04-04,Daily hospital occupancy,17269.0,United Kingdom
2020-04-05,Daily hospital occupancy,18619.0,United Kingdom
2020-04-06,Daily hospital occupancy,19252.0,United Kingdom
2020-04-07,Daily hospital occupancy,20000.0,United Kingdom
2020-04-08,Daily hospital occupancy,20512.0,United Kingdom
2020-04-09,Daily hospital occupancy,20795.0,United Kingdom
2020-04-10,Daily hospital occupancy,21092.0,United Kingdom
2020-04-11,Daily hospital occupancy,21075.0,United Kingdom
2020-04-12,Daily hospital occupancy,21516.0,United Kingdom
2020-04-13,Daily hospital occupancy,21144.0,United Kingdom
2020-04-14,Daily hospital occupancy,21125.0,United Kingdom
2020-04-15,Daily hospital occupancy,20440.0,United Kingdom
2020-04-16,Daily hospital occupancy,20250.0,United Kingdom
2020-04-17,Daily hospital occupancy,19188.0,United Kingdom
2020-04-18,Daily hospital occupancy,19318.0,United Kingdom
2020-04-19,Daily hospital occupancy,19428.0,United Kingdom
2020-04-20,Daily hospital occupancy,19185.0,United Kingdom
2020-04-21,Daily hospital occupancy,18992.0,United Kingdom
2020-04-22,Daily hospital occupancy,18383.0,United Kingdom
2020-04-23,Daily hospital occupancy,17719.0,United Kingdom
2020-04-24,Daily hospital occupancy,16916.0,United Kingdom
2020-04-25,Daily hospital occupancy,16458.0,United Kingdom
2020-04-26,Daily hospital occupancy,16410.0,United Kingdom
2020-04-27,Daily hospital occupancy,16524.0,United Kingdom
2020-04-28,Daily hospital occupancy,15746.0,United Kingdom
2020-04-29,Daily hospital occupancy,15392.0,United Kingdom
2020-04-30,Daily hospital occupancy,15031.0,United Kingdom
2020-05-01,Daily hospital occupancy,14591.0,United Kingdom
2020-05-02,Daily hospital occupancy,14244.0,United Kingdom
2020-05-03,Daily hospital occupancy,14057.0,United Kingdom
2020-05-04,Daily hospital occupancy,13962.0,United Kingdom
2020-05-05,Daily hospital occupancy,13594.0,United Kingdom
2020-05-06,Daily hospital occupancy,13019.0,United Kingdom
2020-05-07,Daily hospital occupancy,12501.0,United Kingdom
2020-05-08,Daily hospital occupancy,11933.0,United Kingdom
2020-05-09,Daily hospital occupancy,11887.0,United Kingdom
2020-05-10,Daily hospital occupancy,11595.0,United Kingdom
2020-05-11,Daily hospital occupancy,11832.0,United Kingdom
2020-05-12,Daily hospital occupancy,11457.0,United Kingdom
2020-05-13,Daily hospital occupancy,11214.0,United Kingdom
2020-05-14,Daily hospital occupancy,10805.0,United Kingdom
2020-05-15,Daily hospital occupancy,10578.0,United Kingdom
2020-05-16,Daily hospital occupancy,10127.0,United Kingdom
2020-05-17,Daily hospital occupancy,10089.0,United Kingdom
2020-05-18,Daily hospital occupancy,10127.0,United Kingdom
2020-05-19,Daily hospital occupancy,9909.0,United Kingdom
2020-05-20,Daily hospital occupancy,9469.0,United Kingdom
2020-05-21,Daily hospital occupancy,9200.0,United Kingdom
2020-05-22,Daily hospital occupancy,9097.0,United Kingdom
2020-05-23,Daily hospital occupancy,8726.0,United Kingdom
2020-05-24,Daily hospital occupancy,8726.0,United Kingdom
2020-05-25,Daily hospital occupancy,8745.0,United Kingdom
2020-05-26,Daily hospital occupancy,8642.0,United Kingdom
2020-05-27,Daily hospital occupancy,8132.0,United Kingdom
2020-05-28,Daily hospital occupancy,7820.0,United Kingdom
2020-05-29,Daily hospital occupancy,7505.0,United Kingdom
2020-05-30,Daily hospital occupancy,7185.0,United Kingdom
2020-05-31,Daily hospital occupancy,7155.0,United Kingdom
2020-06-01,Daily hospital occupancy,7172.0,United Kingdom
2020-06-02,Daily hospital occupancy,7015.0,United Kingdom
2020-06-03,Daily hospital occupancy,6751.0,United Kingdom
2020-06-04,Daily hospital occupancy,6526.0,United Kingdom
2020-06-05,Daily hospital occupancy,6326.0,United Kingdom
2020-06-06,Daily hospital occupancy,6098.0,United Kingdom
2020-06-07,Daily hospital occupancy,5893.0,United Kingdom
2020-06-08,Daily hospital occupancy,5880.0,United Kingdom
2020-06-09,Daily hospital occupancy,5685.0,United Kingdom
2020-06-10,Daily hospital occupancy,5424.0,United Kingdom
2020-06-11,Daily hospital occupancy,5133.0,United Kingdom
2020-06-12,Daily hospital occupancy,5046.0,United Kingdom
2020-06-13,Daily hospital occupancy,4899.0,United Kingdom
2020-06-14,Daily hospital occupancy,4867.0,United Kingdom
2020-06-15,Daily hospital occupancy,4830.0,United Kingdom
2020-06-16,Daily hospital occupancy,4826.0,United Kingdom
2020-06-17,Daily hospital occupancy,4688.0,United Kingdom
2020-06-18,Daily hospital occupancy,4531.0,United Kingdom
2020-06-19,Daily hospital occupancy,4389.0,United Kingdom
2020-06-20,Daily hospital occupancy,4225.0,United Kingdom
2020-06-21,Daily hospital occupancy,4192.0,United Kingdom
2020-06-22,Daily hospital occupancy,4251.0,United Kingdom
2020-06-23,Daily hospital occupancy,4103.0,United Kingdom
2020-06-24,Daily hospital occupancy,4003.0,United Kingdom
2020-06-25,Daily hospital occupancy,3820.0,United Kingdom
2020-06-26,Daily hospital occupancy,3596.0,United Kingdom
2020-06-27,Daily hospital occupancy,3523.0,United Kingdom
2020-06-28,Daily hospital occupancy,3535.0,United Kingdom
2020-06-29,Daily hospital occupancy,3728.0,United Kingdom
2020-06-30,Daily hospital occupancy,3361.0,United Kingdom
2020-07-01,Daily hospital occupancy,3176.0,United Kingdom
2020-07-02,Daily hospital occupancy,3058.0,United Kingdom
2020-07-03,Daily hospital occupancy,2924.0,United Kingdom
2020-07-04,Daily hospital occupancy,2782.0,United Kingdom
2020-07-05,Daily hospital occupancy,2721.0,United Kingdom
2020-07-06,Daily hospital occupancy,2678.0,United Kingdom
2020-07-07,Daily hospital occupancy,2576.0,United Kingdom
2020-07-08,Daily hospital occupancy,2432.0,United Kingdom
2020-07-09,Daily hospital occupancy,2323.0,United Kingdom
2020-07-10,Daily hospital occupancy,2224.0,United Kingdom
2020-07-11,Daily hospital occupancy,2098.0,United Kingdom
2020-07-12,Daily hospital occupancy,2082.0,United Kingdom
2020-07-13,Daily hospital occupancy,2096.0,United Kingdom
2020-07-14,Daily hospital occupancy,1977.0,United Kingdom
2020-07-15,Daily hospital occupancy,1957.0,United Kingdom
2020-07-16,Daily hospital occupancy,1814.0,United Kingdom
2020-07-17,Daily hospital occupancy,1791.0,United Kingdom
2020-07-18,Daily hospital occupancy,1760.0,United Kingdom
2020-07-19,Daily hospital occupancy,1725.0,United Kingdom
2020-07-20,Daily hospital occupancy,1715.0,United Kingdom
2020-07-21,Daily hospital occupancy,1617.0,United Kingdom
2020-07-22,Daily hospital occupancy,1732.0,United Kingdom
2020-07-23,Daily hospital occupancy,1522.0,United Kingdom
2020-07-24,Daily hospital occupancy,1435.0,United Kingdom
2020-07-25,Daily hospital occupancy,1384.0,United Kingdom
2020-07-26,Daily hospital occupancy,1366.0,United Kingdom
2020-07-27,Daily hospital occupancy,1353.0,United Kingdom
2020-07-28,Daily hospital occupancy,1352.0,United Kingdom
2020-07-29,Daily hospital occupancy,1332.0,United Kingdom
2020-07-30,Daily hospital occupancy,1298.0,United Kingdom
2020-07-31,Daily hospital occupancy,1249.0,United Kingdom
2020-08-01,Daily hospital occupancy,1272.0,United Kingdom
2020-08-02,Daily hospital occupancy,1235.0,United Kingdom
2020-08-03,Daily hospital occupancy,1234.0,United Kingdom
2020-08-04,Daily hospital occupancy,1198.0,United Kingdom
2020-08-05,Daily hospital occupancy,1184.0,United Kingdom
2020-08-06,Daily hospital occupancy,1137.0,United Kingdom
2020-08-07,Daily hospital occupancy,1078.0,United Kingdom
2020-08-08,Daily hospital occupancy,1010.0,United Kingdom
2020-08-09,Daily hospital occupancy,965.0,United Kingdom
2020-08-10,Daily hospital occupancy,1070.0,United Kingdom
2020-08-11,Daily hospital occupancy,1021.0,United Kingdom
2020-08-12,Daily hospital occupancy,986.0,United Kingdom
2020-08-13,Daily hospital occupancy,989.0,United Kingdom
2020-08-14,Daily hospital occupancy,977.0,United Kingdom
2020-08-15,Daily hospital occupancy,956.0,United Kingdom
2020-08-16,Daily hospital occupancy,961.0,United Kingdom
2020-08-17,Daily hospital occupancy,960.0,United Kingdom
2020-08-18,Daily hospital occupancy,927.0,United Kingdom
2020-08-19,Daily hospital occupancy,896.0,United Kingdom
2020-08-20,Daily hospital occupancy,877.0,United Kingdom
2020-08-21,Daily hospital occupancy,852.0,United Kingdom
2020-08-22,Daily hospital occupancy,907.0,United Kingdom
2020-08-23,Daily hospital occupancy,834.0,United Kingdom
2020-08-24,Daily hospital occupancy,840.0,United Kingdom
2020-08-25,Daily hospital occupancy,809.0,United Kingdom
2020-08-26,Daily hospital occupancy,798.0,United Kingdom
2020-08-27,Daily hospital occupancy,805.0,United Kingdom
2020-08-28,Daily hospital occupancy,781.0,United Kingdom
2020-08-29,Daily hospital occupancy,794.0,United Kingdom
2020-08-30,Daily hospital occupancy,790.0,United Kingdom
2020-08-31,Daily hospital occupancy,810.0,United Kingdom
2020-09-01,Daily hospital occupancy,814.0,United Kingdom
2020-09-02,Daily hospital occupancy,759.0,United Kingdom
2020-09-03,Daily hospital occupancy,773.0,United Kingdom
2020-09-04,Daily hospital occupancy,777.0,United Kingdom
2020-09-05,Daily hospital occupancy,770.0,United Kingdom
2020-09-06,Daily hospital occupancy,775.0,United Kingdom
2020-09-07,Daily hospital occupancy,861.0,United Kingdom
2020-09-08,Daily hospital occupancy,850.0,United Kingdom
2020-09-09,Daily hospital occupancy,880.0,United Kingdom
2020-09-10,Daily hospital occupancy,900.0,United Kingdom
2020-09-11,Daily hospital occupancy,721.0,United Kingdom
2020-09-12,Daily hospital occupancy,760.0,United Kingdom
2020-09-13,Daily hospital occupancy,788.0,United Kingdom
2020-09-14,Daily hospital occupancy,928.0,United Kingdom
2020-09-15,Daily hospital occupancy,1013.0,United Kingdom
2020-09-16,Daily hospital occupancy,1056.0,United Kingdom
2020-09-17,Daily hospital occupancy,1110.0,United Kingdom
2020-09-18,Daily hospital occupancy,1169.0,United Kingdom
2020-09-19,Daily hospital occupancy,1248.0,United Kingdom
2020-09-20,Daily hospital occupancy,1343.0,United Kingdom
2020-09-21,Daily hospital occupancy,1497.0,United Kingdom
2020-09-22,Daily hospital occupancy,1574.0,United Kingdom
2020-09-23,Daily hospital occupancy,1665.0,United Kingdom
2020-09-24,Daily hospital occupancy,1777.0,United Kingdom
2020-09-25,Daily hospital occupancy,1951.0,United Kingdom
2020-09-26,Daily hospital occupancy,1958.0,United Kingdom
2020-09-27,Daily hospital occupancy,2109.0,United Kingdom
2020-09-28,Daily hospital occupancy,2312.0,United Kingdom
2020-09-29,Daily hospital occupancy,2330.0,United Kingdom
2020-09-30,Daily hospital occupancy,2439.0,United Kingdom
