location,date,vaccine,total_vaccinations
Uruguay,2021-02-27,Oxford/AstraZeneca,5
Uruguay,2021-02-28,Oxford/AstraZeneca,8
Uruguay,2021-03-01,Oxford/AstraZeneca,23
Uruguay,2021-03-02,Oxford/AstraZeneca,34
Uruguay,2021-03-03,Oxford/AstraZeneca,44
Uruguay,2021-03-04,Oxford/AstraZeneca,45
Uruguay,2021-03-05,Oxford/AstraZeneca,51
Uruguay,2021-03-06,Oxford/AstraZeneca,59
Uruguay,2021-03-07,Oxford/AstraZeneca,67
Uruguay,2021-03-08,Oxford/AstraZeneca,70
Uruguay,2021-03-09,Oxford/AstraZeneca,72
Uruguay,2021-03-10,Oxford/AstraZeneca,74
Uruguay,2021-03-11,Oxford/AstraZeneca,78
Uruguay,2021-03-13,Oxford/AstraZeneca,79
Uruguay,2021-03-15,Oxford/AstraZeneca,83
Uruguay,2021-03-16,Oxford/AstraZeneca,86
Uruguay,2021-03-17,Oxford/AstraZeneca,89
Uruguay,2021-03-18,Oxford/AstraZeneca,92
Uruguay,2021-03-19,Oxford/AstraZeneca,122
Uruguay,2021-03-20,Oxford/AstraZeneca,129
Uruguay,2021-03-22,Oxford/AstraZeneca,130
Uruguay,2021-03-23,Oxford/AstraZeneca,134
Uruguay,2021-03-24,Oxford/AstraZeneca,139
Uruguay,2021-03-25,Oxford/AstraZeneca,143
Uruguay,2021-03-26,Oxford/AstraZeneca,145
Uruguay,2021-03-27,Oxford/AstraZeneca,154
Uruguay,2021-03-28,Oxford/AstraZeneca,156
Uruguay,2021-03-29,Oxford/AstraZeneca,162
Uruguay,2021-03-30,Oxford/AstraZeneca,163
Uruguay,2021-03-31,Oxford/AstraZeneca,168
Uruguay,2021-04-01,Oxford/AstraZeneca,175
Uruguay,2021-04-02,Oxford/AstraZeneca,186
Uruguay,2021-04-03,Oxford/AstraZeneca,191
Uruguay,2021-04-04,Oxford/AstraZeneca,197
Uruguay,2021-04-05,Oxford/AstraZeneca,203
Uruguay,2021-04-06,Oxford/AstraZeneca,212
Uruguay,2021-04-07,Oxford/AstraZeneca,236
Uruguay,2021-04-08,Oxford/AstraZeneca,243
Uruguay,2021-04-09,Oxford/AstraZeneca,253
Uruguay,2021-04-10,Oxford/AstraZeneca,259
Uruguay,2021-04-11,Oxford/AstraZeneca,265
Uruguay,2021-04-12,Oxford/AstraZeneca,278
Uruguay,2021-04-13,Oxford/AstraZeneca,284
Uruguay,2021-04-14,Oxford/AstraZeneca,294
Uruguay,2021-04-15,Oxford/AstraZeneca,318
Uruguay,2021-04-16,Oxford/AstraZeneca,344
Uruguay,2021-04-17,Oxford/AstraZeneca,19640
Uruguay,2021-04-18,Oxford/AstraZeneca,35278
Uruguay,2021-04-19,Oxford/AstraZeneca,36194
Uruguay,2021-04-20,Oxford/AstraZeneca,36814
Uruguay,2021-04-21,Oxford/AstraZeneca,37780
Uruguay,2021-04-22,Oxford/AstraZeneca,38647
Uruguay,2021-04-23,Oxford/AstraZeneca,39535
Uruguay,2021-04-24,Oxford/AstraZeneca,40065
Uruguay,2021-04-25,Oxford/AstraZeneca,40075
Uruguay,2021-04-26,Oxford/AstraZeneca,40912
Uruguay,2021-04-27,Oxford/AstraZeneca,41520
Uruguay,2021-04-28,Oxford/AstraZeneca,42095
Uruguay,2021-04-29,Oxford/AstraZeneca,42703
Uruguay,2021-04-30,Oxford/AstraZeneca,43291
Uruguay,2021-05-01,Oxford/AstraZeneca,43424
Uruguay,2021-05-02,Oxford/AstraZeneca,43471
Uruguay,2021-05-03,Oxford/AstraZeneca,43549
Uruguay,2021-05-04,Oxford/AstraZeneca,43633
Uruguay,2021-05-05,Oxford/AstraZeneca,43798
Uruguay,2021-05-06,Oxford/AstraZeneca,43881
Uruguay,2021-05-07,Oxford/AstraZeneca,44438
Uruguay,2021-05-08,Oxford/AstraZeneca,44591
Uruguay,2021-05-09,Oxford/AstraZeneca,44613
Uruguay,2021-05-10,Oxford/AstraZeneca,44788
Uruguay,2021-05-11,Oxford/AstraZeneca,45070
Uruguay,2021-05-12,Oxford/AstraZeneca,45296
Uruguay,2021-05-13,Oxford/AstraZeneca,45308
Uruguay,2021-05-14,Oxford/AstraZeneca,45406
Uruguay,2021-05-15,Oxford/AstraZeneca,45436
Uruguay,2021-05-16,Oxford/AstraZeneca,45445
Uruguay,2021-05-17,Oxford/AstraZeneca,45463
Uruguay,2021-05-18,Oxford/AstraZeneca,45494
Uruguay,2021-05-19,Oxford/AstraZeneca,45554
Uruguay,2021-05-20,Oxford/AstraZeneca,45594
Uruguay,2021-05-21,Oxford/AstraZeneca,45622
Uruguay,2021-05-22,Oxford/AstraZeneca,45636
Uruguay,2021-05-23,Oxford/AstraZeneca,45647
Uruguay,2021-05-24,Oxford/AstraZeneca,45660
Uruguay,2021-05-25,Oxford/AstraZeneca,45706
Uruguay,2021-05-26,Oxford/AstraZeneca,45785
Uruguay,2021-05-27,Oxford/AstraZeneca,45808
Uruguay,2021-05-28,Oxford/AstraZeneca,45865
Uruguay,2021-05-29,Oxford/AstraZeneca,45882
Uruguay,2021-05-30,Oxford/AstraZeneca,45901
Uruguay,2021-05-31,Oxford/AstraZeneca,45925
Uruguay,2021-06-01,Oxford/AstraZeneca,45950
Uruguay,2021-06-02,Oxford/AstraZeneca,45987
Uruguay,2021-06-03,Oxford/AstraZeneca,46016
Uruguay,2021-06-04,Oxford/AstraZeneca,46061
Uruguay,2021-06-05,Oxford/AstraZeneca,46106
Uruguay,2021-06-06,Oxford/AstraZeneca,46123
Uruguay,2021-06-07,Oxford/AstraZeneca,46167
Uruguay,2021-06-08,Oxford/AstraZeneca,46284
Uruguay,2021-06-09,Oxford/AstraZeneca,46323
Uruguay,2021-06-10,Oxford/AstraZeneca,46490
Uruguay,2021-06-11,Oxford/AstraZeneca,46523
Uruguay,2021-06-12,Oxford/AstraZeneca,46552
Uruguay,2021-06-13,Oxford/AstraZeneca,46558
Uruguay,2021-06-14,Oxford/AstraZeneca,46588
Uruguay,2021-06-15,Oxford/AstraZeneca,46628
Uruguay,2021-06-16,Oxford/AstraZeneca,46677
Uruguay,2021-06-17,Oxford/AstraZeneca,46735
Uruguay,2021-06-18,Oxford/AstraZeneca,46794
Uruguay,2021-06-19,Oxford/AstraZeneca,46892
Uruguay,2021-06-20,Oxford/AstraZeneca,46906
Uruguay,2021-06-21,Oxford/AstraZeneca,46994
Uruguay,2021-06-22,Oxford/AstraZeneca,47082
Uruguay,2021-06-23,Oxford/AstraZeneca,47159
Uruguay,2021-06-24,Oxford/AstraZeneca,47260
Uruguay,2021-06-25,Oxford/AstraZeneca,47415
Uruguay,2021-06-26,Oxford/AstraZeneca,47541
Uruguay,2021-06-27,Oxford/AstraZeneca,47571
Uruguay,2021-06-28,Oxford/AstraZeneca,47613
Uruguay,2021-06-29,Oxford/AstraZeneca,47641
Uruguay,2021-06-30,Oxford/AstraZeneca,47685
Uruguay,2021-07-01,Oxford/AstraZeneca,47762
Uruguay,2021-07-02,Oxford/AstraZeneca,47788
Uruguay,2021-07-03,Oxford/AstraZeneca,47909
Uruguay,2021-07-04,Oxford/AstraZeneca,47998
Uruguay,2021-07-05,Oxford/AstraZeneca,48035
Uruguay,2021-07-06,Oxford/AstraZeneca,48077
Uruguay,2021-07-07,Oxford/AstraZeneca,48123
Uruguay,2021-07-08,Oxford/AstraZeneca,48141
Uruguay,2021-07-09,Oxford/AstraZeneca,48160
Uruguay,2021-07-10,Oxford/AstraZeneca,48175
Uruguay,2021-07-11,Oxford/AstraZeneca,48185
Uruguay,2021-07-12,Oxford/AstraZeneca,48201
Uruguay,2021-07-13,Oxford/AstraZeneca,48222
Uruguay,2021-07-14,Oxford/AstraZeneca,48247
Uruguay,2021-07-15,Oxford/AstraZeneca,67068
Uruguay,2021-07-16,Oxford/AstraZeneca,81870
Uruguay,2021-07-17,Oxford/AstraZeneca,81892
Uruguay,2021-07-18,Oxford/AstraZeneca,81905
Uruguay,2021-07-19,Oxford/AstraZeneca,82838
Uruguay,2021-07-20,Oxford/AstraZeneca,83687
Uruguay,2021-07-21,Oxford/AstraZeneca,84478
Uruguay,2021-07-22,Oxford/AstraZeneca,85090
Uruguay,2021-07-23,Oxford/AstraZeneca,85778
Uruguay,2021-07-24,Oxford/AstraZeneca,86181
Uruguay,2021-07-25,Oxford/AstraZeneca,86194
Uruguay,2021-07-26,Oxford/AstraZeneca,86946
Uruguay,2021-07-27,Oxford/AstraZeneca,87448
